difficulty	steps	time_req	time_avg	views_per_pic
2	48	90	1.89	0.86
2	48	90	1.63	0.75
2	48	90	1.90	0.80
2	48	90	2.1	1.85
2	48	90	1.35	1.0
2	30	70	1.5	1.12
2	30	70	1.6	1.0
2	30	70	1.23	0.86
2	30	70	1.39	1.43
2	28	30	1.2	0.7
2	28	30	1.37	0.9
2	28	30	1.05	0.8
2	28	30	0.87	0.43
2	28	30	1.8	2.6
2	38	65	1.7 	1.0
2	38	65	1.62 	1.2
2	38	65	1.4 	.73
2	38	65	1.2 	1.4
2	38	65	2.1 	1.1
2	48	90	0.23 	0.4
2	48	90	0.28 	0.6
2	48	90	0.1 	0.0
2	48	90	0.05 	0.1
2	48	90	0.16 	0.5
2	28	30	0.1 	0
2	28	30	0.16 	0.3
2	28	30	0.21 	0.12
2	28	30	0.05 	0.5
2	28	30	0.02 	0.19
2	28	30	0.3 	1
2	38	65	.36 	0.5
2	38	65	.2 	0.2
2	38	65	.18 	0.1
2	38	65	.32 	0.06
2	38	65	.4 	0
2	38	65	.05 	0.35
